filename,width,height,class,xmin,ymin,xmax,ymax
/workspace/shared_volume/images_bolsasPivot+/train/Images/Pivot/Pivot0.JPG,1652,861,Pivot,117,233,243,361
/workspace/shared_volume/images_bolsasPivot+/train/Images/Pivot/Pivot0.JPG,1652,861,Pivot,244,158,392,313
/workspace/shared_volume/images_bolsasPivot+/train/Images/Pivot/Pivot0.JPG,1652,861,Pivot,371,86,506,226
/workspace/shared_volume/images_bolsasPivot+/train/Images/Pivot/Pivot0.JPG,1652,861,Pivot,553,114,689,254
/workspace/shared_volume/images_bolsasPivot+/train/Images/Pivot/Pivot0.JPG,1652,861,Pivot,428,201,563,337
/workspace/shared_volume/images_bolsasPivot+/train/Images/Pivot/Pivot0.JPG,1652,861,Pivot,1239,568,1380,705
/workspace/shared_volume/images_bolsasPivot+/train/Images/Pivot/Pivot0.JPG,1652,861,Pivot,1389,640,1606,858
/workspace/shared_volume/images_bolsasPivot+/train/Images/Pivot/Pivot0.JPG,1652,861,Pivot,996,753,1172,861
/workspace/shared_volume/images_bolsasPivot+/train/Images/Pivot/Pivot0.JPG,1652,861,Pivot,481,693,679,861
/workspace/shared_volume/images_bolsasPivot+/train/Images/Pivot/Pivot0.JPG,1652,861,Pivot,163,643,329,739
/workspace/shared_volume/images_bolsasPivot+/train/Images/Pivot/Pivot0.JPG,1652,861,Pivot,0,693,73,791
/workspace/shared_volume/images_bolsasPivot+/train/Images/Pivot/Pivot1.JPG,1675,852,Pivot,113,474,446,812
/workspace/shared_volume/images_bolsasPivot+/train/Images/Pivot/Pivot1.JPG,1675,852,Pivot,460,266,864,679
/workspace/shared_volume/images_bolsasPivot+/train/Images/Pivot/Pivot1.JPG,1675,852,Pivot,803,71,1161,435
/workspace/shared_volume/images_bolsasPivot+/train/Images/Pivot/Pivot1.JPG,1675,852,Pivot,1300,152,1663,521
/workspace/shared_volume/images_bolsasPivot+/train/Images/Pivot/Pivot1.JPG,1675,852,Pivot,958,380,1325,748
/workspace/shared_volume/images_bolsasPivot+/train/Images/Pivot/Pivot1.JPG,1675,852,Pivot,591,564,990,845
/workspace/shared_volume/images_bolsasPivot+/train/Images/Pivot/Pivot2.JPG,1673,870,Pivot,439,157,699,423
/workspace/shared_volume/images_bolsasPivot+/train/Images/Pivot/Pivot2.JPG,1673,870,Pivot,711,1,966,253
/workspace/shared_volume/images_bolsasPivot+/train/Images/Pivot/Pivot2.JPG,1673,870,Pivot,859,222,1108,476
/workspace/shared_volume/images_bolsasPivot+/train/Images/Pivot/Pivot2.JPG,1673,870,Pivot,998,434,1252,690
/workspace/shared_volume/images_bolsasPivot+/train/Images/Pivot/Pivot2.JPG,1673,870,Pivot,701,621,960,870
/workspace/shared_volume/images_bolsasPivot+/train/Images/Pivot/Pivot2.JPG,1673,870,Pivot,591,361,846,619
/workspace/shared_volume/images_bolsasPivot+/train/Images/Pivot/Pivot3.JPG,1315,880,Pivot,72,363,543,835
/workspace/shared_volume/images_bolsasPivot+/train/Images/Pivot/Pivot3.JPG,1315,880,Pivot,573,54,1047,527
/workspace/shared_volume/images_bolsasPivot+/train/Images/Pivot/Pivot3.JPG,1315,880,Pivot,831,476,1301,880
/workspace/shared_volume/images_bolsasPivot+/train/Images/Pivot/Pivot3.JPG,1315,880,Pivot,372,737,804,880
/workspace/shared_volume/images_bolsasPivot+/train/Images/Pivot/Pivot4.JPG,1543,816,Pivot,1081,6,1217,144
/workspace/shared_volume/images_bolsasPivot+/train/Images/Pivot/Pivot4.JPG,1543,816,Pivot,861,192,1028,376
/workspace/shared_volume/images_bolsasPivot+/train/Images/Pivot/Pivot4.JPG,1543,816,Pivot,968,316,1138,485
/workspace/shared_volume/images_bolsasPivot+/train/Images/Pivot/Pivot4.JPG,1543,816,Pivot,834,415,1021,594
/workspace/shared_volume/images_bolsasPivot+/train/Images/Pivot/Pivot4.JPG,1543,816,Pivot,905,594,1075,769
/workspace/shared_volume/images_bolsasPivot+/train/Images/Pivot/Pivot4.JPG,1543,816,Pivot,789,756,913,816
/workspace/shared_volume/images_bolsasPivot+/train/Images/Pivot/Pivot4.JPG,1543,816,Pivot,671,734,795,815
/workspace/shared_volume/images_bolsasPivot+/train/Images/Pivot/Pivot4.JPG,1543,816,Pivot,539,711,672,814
/workspace/shared_volume/images_bolsasPivot+/train/Images/Pivot/Pivot4.JPG,1543,816,Pivot,254,769,382,814
/workspace/shared_volume/images_bolsasPivot+/train/Images/Pivot/Pivot4.JPG,1543,816,Pivot,277,653,401,775
/workspace/shared_volume/images_bolsasPivot+/train/Images/Pivot/Pivot4.JPG,1543,816,Pivot,322,547,451,674
/workspace/shared_volume/images_bolsasPivot+/train/Images/Pivot/Pivot4.JPG,1543,816,Pivot,494,601,620,723
/workspace/shared_volume/images_bolsasPivot+/train/Images/Pivot/Pivot4.JPG,1543,816,Pivot,435,493,559,619
/workspace/shared_volume/images_bolsasPivot+/train/Images/Pivot/Pivot4.JPG,1543,816,Pivot,331,432,452,550
/workspace/shared_volume/images_bolsasPivot+/train/Images/Pivot/Pivot4.JPG,1543,816,Pivot,558,475,678,590
/workspace/shared_volume/images_bolsasPivot+/train/Images/Pivot/Pivot4.JPG,1543,816,Pivot,469,371,591,492
/workspace/shared_volume/images_bolsasPivot+/train/Images/Pivot/Pivot4.JPG,1543,816,Pivot,600,359,716,477
/workspace/shared_volume/images_bolsasPivot+/train/Images/Pivot/Pivot4.JPG,1543,816,Pivot,683,283,800,404
/workspace/shared_volume/images_bolsasPivot+/train/Images/Pivot/Pivot4.JPG,1543,816,Pivot,542,265,654,379
/workspace/shared_volume/images_bolsasPivot+/train/Images/Pivot/Pivot4.JPG,1543,816,Pivot,445,213,558,331
/workspace/shared_volume/images_bolsasPivot+/train/Images/Pivot/Pivot4.JPG,1543,816,Pivot,406,106,520,221
/workspace/shared_volume/images_bolsasPivot+/train/Images/Pivot/Pivot4.JPG,1543,816,Pivot,533,152,649,266
/workspace/shared_volume/images_bolsasPivot+/train/Images/Pivot/Pivot4.JPG,1543,816,Pivot,646,180,754,293
/workspace/shared_volume/images_bolsasPivot+/train/Images/Pivot/Pivot4.JPG,1543,816,Pivot,753,194,867,318
/workspace/shared_volume/images_bolsasPivot+/train/Images/Pivot/Pivot4.JPG,1543,816,Pivot,692,78,816,199
/workspace/shared_volume/images_bolsasPivot+/train/Images/Pivot/Pivot4.JPG,1543,816,Pivot,583,40,701,163
