filename,width,height,class,xmin,ymin,xmax,ymax
/workspace/shared_volume/pivot_silobolsa_qgis/DONE/gen2/Pivot/Pivot_1260526.JPG,416,416,Pivot,178,0,416,263
/workspace/shared_volume/pivot_silobolsa_qgis/DONE/gen2/Pivot/Pivot_351149.JPG,416,416,Pivot,132,0,416,290
/workspace/shared_volume/pivot_silobolsa_qgis/DONE/gen2/Pivot/Pivot_116293.JPG,416,416,Pivot,51,0,416,312
/workspace/shared_volume/pivot_silobolsa_qgis/DONE/gen2/Pivot/Pivot_734921.JPG,416,416,Pivot,0,97,254,416
/workspace/shared_volume/pivot_silobolsa_qgis/DONE/gen2/Pivot/Pivot_343906.JPG,416,416,Pivot,123,0,416,301
/workspace/shared_volume/pivot_silobolsa_qgis/DONE/gen2/Pivot/Pivot_1219971.JPG,416,416,Pivot,24,17,387,384
/workspace/shared_volume/pivot_silobolsa_qgis/DONE/gen2/Pivot/Pivot_1403665.JPG,416,416,Pivot,126,115,416,416
/workspace/shared_volume/pivot_silobolsa_qgis/DONE/gen2/Pivot/Pivot_629631.JPG,416,416,Pivot,5,124,322,416
/workspace/shared_volume/pivot_silobolsa_qgis/DONE/gen2/Pivot/Pivot_1401254.JPG,416,416,Pivot,74,0,416,408
/workspace/shared_volume/pivot_silobolsa_qgis/DONE/gen2/Pivot/Pivot_313882.JPG,416,416,Pivot,28,102,416,416
/workspace/shared_volume/pivot_silobolsa_qgis/DONE/gen2/Pivot/Pivot_966600.JPG,416,416,Pivot,0,76,342,416
/workspace/shared_volume/pivot_silobolsa_qgis/DONE/gen2/Pivot/Pivot_1347012.JPG,416,416,Pivot,103,0,416,297
/workspace/shared_volume/pivot_silobolsa_qgis/DONE/gen2/Pivot/Pivot_421686.JPG,416,416,Pivot,0,0,275,277
/workspace/shared_volume/pivot_silobolsa_qgis/DONE/gen2/Pivot/Pivot_1042477.JPG,416,416,Pivot,0,34,239,344
/workspace/shared_volume/pivot_silobolsa_qgis/DONE/gen2/Pivot/Pivot_858668.JPG,416,416,Pivot,0,12,301,393
